Position,Company,Location
"Senior Associate, Data Scientist",KPMG,"New York, NY 10154 "
Options Trading Analyst,Hudson River Trading,"New York, NY 10005 "
Certifying Scientist,Ridgewood Diagnostic Laboratory,"Hackensack, NJ"
International Research Analyst,Brown Brothers Harriman,"New York, NY"
Leveraged Loan Research Analyst,AXA General Insurance,"New York, NY"
Principal Data Scientist (Media),Averity,"New York, NY"
Manager - Data Scientist,ADP,"Roseland, NJ 07068"
Machine Learning Data Scientist-Equity Investment Research,Analytic Recruiting,"New York, NY 10017 "
Data Scientist-Research Analyst,Analytic Recruiting,"New York, NY 10017 "
Data Scientist / Senior Strategic Analyst (Communications & Marketing),Memorial Sloan Kettering,"New York, NY"
Media Research Analyst,Spark Foundry,"New York, NY"
"Analyst, Quantitative Research",Kelton Global,"New York, NY"
Research Analyst Intern - Blockchain,Fresh Digital Group,"New York, NY 10038 "
Policy and Research Analyst Interns - Strategic Policy Unit (3 vacancies),United Nations Development Programme (UNDP),"New York, NY"
Statistical Analyst/Data Manager - General Medicine,Columbia University,"New York, NY"
Senior Applied Scientist - Amazon AI,Amazon.com,"New York, NY"
Research Analyst,National CineMedia,"New York, NY 10168 "
Research Analyst-Technical,New York University,"New York, NY"
Machine Learning Research Scientist - Text Analytics,Bloomberg,"New York, NY"
Bioinformatics Scientist (Statistical Genetics/Genetic Epidemiology),New York Genome Center,"New York, NY 10013 "
"Analyst - Trading, Research",White Bay Group,"New York, NY"
"Senior Analyst, Data and Analysis",DigitasLBi,"New York, NY"
Technical Data Analyst - Marketing,HelloFresh,"New York, NY"
JP Morgan Chase Institute- Research Analyst for Financial Markets,JP Morgan Chase,"New York, NY 10172 "
TradeOps Analyst - New York,Hudson River Trading,"New York, NY 10005 "
Scientist I,Mondelez International,"East Hanover, NJ 07936"
Research Analyst,Milliman,"New York, NY 10119 "
Research Analyst,The Expert Institute,"New York, NY"
Senior Data Engineer,Esha IT,"New York, NY"
Software Engineer - Data,Candid Co.,"New York, NY"
Analyst - CoinList Capital,Coinlist,"New York, NY"
Epic HIM Analyst,NYU Langone Health,"New York, NY 10016 "
Backend Data Engineer,Tier1 IT,"New York, NY"
Prospect Research Analyst,ACLU,"New York, NY"
"Lead Data Scientist, Hedge Fund",Harnham,"New York, NY"
"Sr Business Analyst, Reporting & Data Analysis (Remote New York)",Allianz Global Corporate & Specialty,"New York, NY"
Biotechnology Research Analyst,Tang Capital Management,"New York, NY 10011 "
"Director, Data Scientist",KPMG,"New York, NY 10154 "
BCG Platinion | MAYA Design Human Scientist,The Boston Consulting Group,"New York, NY 10022 "
AI Research Scientist,"Two Sigma Investments, LLC.","New York, NY"
Research Analyst,Vera Institute of Justice,"New York, NY"
"Senior Data Scientist, Ad-Tech",Dailymotion,"New York, NY"
Data Scientist - Actuarial and Product Analytics,New York Life Insurance Co,"New York, NY"
Data Engineer,Verisk Maplecroft,"Jersey City, NJ"
Research Analyst II,Research Foundation of The City University of New York,"New York, NY"
Data Engineer,Weight Watchers International,"New York, NY"
Machine Learning Engineer,Memorial Sloan Kettering,"New York, NY"
"NYC Restaurant Product Data Analyst II, UET",Uber,"New York, NY 10001 "
"Manager, Data Scientist",KPMG,"New York, NY 10154 "
"Software Engineer, Machine Learning",Google,"New York, NY 10011 "
Research Analyst,Nielsen,"New York, NY 10003 "
OGIQ Research Analyst,Options Group,"New York, NY 10003 "
Epic Clindoc Analyst,NYU Langone Health,"New York, NY 10016 "
Machine Learning Engineer,SKA,"New York, NY"
Jr. Graph Data Analyst - Corporate - CRM & Analytics,"Jefferies & Company, Inc.","New York, NY"
Data Engineer,Lancer Insurance Company,"Long Beach, NY 11561"
Data Scientist / Lead Quantitative Analyst,Guidepoint Global,"New York, NY 10017 "
Machine Learning Engineer,Foursquare,"New York, NY"
Programmer Analyst,Weill Cornell Medicine,"New York, NY"
Epic Cupid Analyst,NYU Langone Health,"New York, NY 10016 "
Epic MyChart Analyst,NYU Langone Health,"New York, NY 10016 "
Graph Engineer Ontologist,DataAxxis,"New York, NY 10016 "
"Information Systems and Quality Analyst, Bureau of HIV/AIDS Prevention and Control/HIV/AIDS Care & Treatment",DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY"
Quantitative Analyst,First Republic Bank,"New York, NY"
"Director, Cognitive Data Scientist Natural Language Processing",KPMG,"New York, NY 10154 "
Research Analyst,NRT New York LLC,"New York, NY"
Quantitative Analyst,Crédit Agricole CIB,"New York, NY"
Research Analyst,Rutgers University,"Newark, NJ"
Research Analyst,CBS Television Network,"New York, NY 10176 "
Data Science Analyst III - Population Health - Mount Sinai Health Partners,Mount Sinai,"New York, NY"
Child Welfare Analyst,ADMIN FOR CHILDREN'S SVCS,"Manhattan, NY"
Senior Data Scientist,Bayer,"Whippany, NJ"
Environmental Scientist / Geologist / Engineer,Wood,"Jersey City, NJ"
Data Scientist – CIB Chief Data Science Office - Associate,JP Morgan Chase,"New York, NY 10179 "
Data Scientist - forecasting,Kavyos Consulting Inc,"Union, NJ"
Research Scientist,"Two Sigma Investments, LLC.","New York, NY"
eCommerce Analytics Director/Data Scientist,UNTUCKit,"New York, NY"
Data Engineer,S&P GLOBAL MARKET INTELLIGENCE,"New York, NY 10041 "
Policy Analyst,Natural Resources Defense Council,"New York, NY 10011 "
Manager - Cognitive Data Scientist Natural Language Processing,KPMG,"New York, NY 10154 "
"NYC Marketplace Intelligence and Logistics Product Data Analyst, UET",Uber,"New York, NY 10001 "
"Data Engineer, Various Data Engineering Teams",The New York Times,"New York, NY"
Research Analyst,Insight Strategy Group,"New York, NY 10010 "
Business Analyst,Bonobos,"New York, NY"
Clinical Scientist,Molecular Templates Inc,"Jersey City, NJ 07311 "
Lead Data Scientist - Customer Analytics,New York Life Insurance Co,"New York, NY"
GSAM Technology - Data Science and Machine Learning Engineer,Goldman Sachs,"New York, NY 10282 "
Research Informatics Business Analyst,Mount Sinai Health System,"New York, NY 10019 "
"NYC Enterprise Product Data Analyst, UET",Uber,"New York, NY 10001 "
Research Scientist,Northwell Health,"Manhasset, NY 11030"
Environmental Remediation Scientist,PS&S,"Yonkers, NY 10701"
Senior Data Scientist - Revenue Optimization,WeWork Global Technology,"New York, NY"
Data Engineer,"Amplify Education, Inc.","Brooklyn, NY"
Machine Learning/NLP Engineer,Alpha,"Manhattan, NY"
Project Delivery Analyst,DEPARTMENT OF TRANSPORTATION,"Manhattan, NY"
Research Analyst,Townsquare Media,"New York, NY"
Research Scientist (Multiple Postions),Montclair State University,"Montclair, NJ"
"Research Analyst, CSC",Vera Institute of Justice,"New York, NY 10279 "
Decision Scientist,Smith Hanley Associates,"New York, NY"
"Scientist/Sr. Process Sciences and Discovery, (New York)",BlueRock Therapeutics,"New York, NY"
Financial Analyst,NYU Langone Health,"New York, NY 10016 "
FGP Reimbursement Analyst,NYU Langone Health,"New York, NY 10016 "
Data Scientist.,Lorven Technologies,"New York, NY"
Sr. Data Scientist - Search Relevance & Ranking,Grubhub,"New York, NY"
Field Application Scientist,Nexcelom Bioscience,"New York, NY"
Data Scientist,Analytic Recruiting,"New York, NY 10017 "
Associate Research Scientist (Oncology),NYU Langone Health,"New York, NY 10016 "
Machine Learning Engineer,PulsePoint,"New York, NY"
Data Scientist,"TekPartners, A P2P Company","New York, NY"
"Research Analyst, CCA",Simons Foundation,"New York, NY 10010 "
Senior Assessment Data Analyst,DEPARTMENT OF FINANCE,"Manhattan, NY"
Assistant Research Scientist,New York University,"New York, NY"
"Data Engineer, In Our Backyards Campaign",Vera Institute of Justice,"New York, NY 10279 "
Water Quality Analyst,DEPT OF ENVIRONMENT PROTECTION,"New York, NY"
Research Analyst,Showtime,"New York, NY 10176 "
"Senior Data Scientist, Bureau of Primary Care Access and Planning",DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY"
Data Scientist,"The Hagan-Ricci Group, Inc.","New York, NY"
Research Analyst,The New School,"New York, NY"
Quantitative Analyst,KOCH SUPPLY AND TRADING,"New York, NY 10065 "
Machine Learning Research Scientist - Pattern Recognition,Bloomberg,"New York, NY"
Data Engineer,Hospital for Special Surgery,"New York, NY"
Research Scientist,Oath Inc,"New York, NY"
Senior Data Analyst,Candid Co.,"New York, NY"
Subways Operations Analyst,New York City Transit,"Manhattan, NY"
"Statistical Analyst, CHOICE",VISITING NURSE SERVICE OF NEW YORK,"Manhattan, NY"
"Data Analyst, Bureau of HIV/AIDS Prevention and Control/HIV/AIDS Prevention",DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY"
NLP Scientist,Ipsos North America,"New York, NY"
Assistant Research Scientist (PT),New York University,"New York, NY"
Research Analyst,Westwood One,"New York, NY"
Marketing Data Analyst,Via,"New York, NY"
Analyst New York Research,Cushman & Wakefield,"New York, NY"
Senior Data Analyst,NYU Langone Health,"New York, NY 10016 "
"Quantitative Data Engineer, Modeling Team",Applecart,"New York, NY"
Cyber Security Data Scientist,Darwin Recruitment,"Manhattan, NY"
Research Analyst,Service Employees International Union,"New York, NY 10036"
Data Scientist,Diverse Lynx,"New York, NY"
Data Engineer,Freshly,"New York, NY"
Data Intelligence - Research & Development Engineer,Goldman Sachs,"New York, NY 10282 "
Data Engineer,Beeswax,"New York, NY"
"Senior Associate, Data Scientist",Capital One,"New York, NY 10261 "
Data Analyst / Engineer,7Park Data,"New York, NY"
Data Visualization Engineer,Simons Foundation,"New York, NY 10010 "
"Associate Research Scientist, Machine Learning & Statistics, CCA",Simons Foundation,"New York, NY 10010 "
Statistical Analyst,VISITING NURSE SERVICE OF NEW YORK,"Manhattan, NY"
"Applied Research Scientist, Core Machine Learning",Facebook,"New York, NY"
"Sr. Data Scientist, Audience Science",Viacom,"New York, NY"
Research Scientist,Blockstack,"New York, NY"
"Analyst, Data & Analysis",DigitasLBi,"New York, NY"
Chief Data Scientist,IJC Associates,"New York, NY"
Data Engineer,Integral Ad Science,"New York, NY 10003 "
Portfolio Scientist,Seaport Global Holdings LLC,"New York, NY"
Scientist,"Quentis Therapeutics, Inc","New York, NY"
Principal Data Scientist,Sartorius Corporation,"New York, NY"
"Analyst, Data & Analytics",Casper,"New York, NY"
Research Scientist (AI),Facebook,"New York, NY"
Aso/ VP- Junior Research Analyst,Bank of America,"New York, NY 10036"
Principal Data Scientist,Sartorius,"New York, NY"
Data Scientist,S.C. International,"New York, NY"
Data Analyst,Source One,"New York, NY 10001 "
"Research Scientist, CCA",Simons Foundation,"New York, NY 10010 "
Machine Learning Research Scientist,Butterfly Network,"New York, NY"
"Research Analyst, R29 Intelligence",Refinery29,"New York, NY 10013 "
Senior Research Scientist,Amazon.com,"New York, NY"
Senior Data Scientist,Reorg Research,"New York, NY"
"Research Scientist, Machine Learning (PhD University Grad)",Facebook,"New York, NY"
Data Engineer,Insticator Inc,"New York, NY 10018 "
Research Scientist,EcoHealth Alliance,"Manhattan, NY"
Senior Data Scientist,Getty Images,"New York, NY"
Data Scientist (Online Media),Averity,"New York, NY"
"Senior Data Scientist, Evaluations",Quartet,"New York, NY 10018 "
Data Scientist - Marketing - New York,Big Cloud,"New York, NY"
Data Scientist,"Open Systems Technologies, Inc.","New York, NY"
Investment Data Analyst,Balyasny,"New York, NY"
Researcher and Quantitative Analyst,Drug Policy Alliance,"New York, NY 10001 "
Sr. Applied Scientist,Amazon.com,"New York, NY"
CIB Chief Data Science Office-Data Scientist – VP - New York,JP Morgan Chase,"New York, NY 10179 "
Senior Data Scientist,DigitasLBi,"New York, NY"
Senior Data Scientist (2018035),Annalect,"New York, NY"
Data Engineer,KDR recruitment,"New York, NY"
Data Science Engineer,TMP Worldwide,"New York, NY"
"Research Scientist, Genomics",Simons Foundation,"New York, NY 10010 "
Postdoctoral Research Scientist,Columbia University,"New York, NY"
Senior Data Scientist,Weight Watchers International,"New York, NY"
Data Research Analyst,Northwell Health,"New Hyde Park, NY 11040"
Senior Quantitative Scientist,Gro Intelligence,"New York, NY 10001 "
"Associate Research Scientist, CCA",Simons Foundation,"New York, NY 10010 "
Machine Learning Engineer,IBM,"New York, NY 10002 "
Associate Scientist,New York Genome Center,"New York, NY 10013 "
Digital Data Scientist - Marketing Analyst,The Children's Place,"Secaucus, NJ"
"Data Analyst II, Oncological Sciences",Mount Sinai,"New York, NY"
Quantitative Investment Analyst,New Amsterdam Partners LLC,"New York, NY 10016 "
Research Scientist,Columbia University,"Palisades, NY"
Basic Scientist,Rutgers University,"Newark, NJ"
Deep Learning Scientist,AIG,"New York, NY"
Technology Operation Intelligence Analyst,Medidata Solutions,"New York, NY 10003 "
"Staff Engineer, Data",Harry's,"New York, NY"
Senior Data Scientist (Financial Services),Ayasdi,"New York, NY"
Sr. Data Scientist,Bed Bath & Beyond,"Union, NJ"
Tumblr: Sr. Data Scientist (Analytics),Oath Inc,"New York, NY"
Personal Financial Management - Chief Data Scientist - Vice President - New York City,Goldman Sachs,"New York, NY 10282 "
Data Scientist - Technology,Averity,"New York, NY"
Python Data Engineer,SRS Investment Management,"New York, NY 10036"
Data Scientist – CIB Chief Data Science Office - VP,JP Morgan Chase,"New York, NY 10179 "
"Research Analyst & Survey Coordinator, World Trade Center Health Registry",DEPT OF HEALTH/MENTAL HYGIENE,"Manhattan, NY"
Data Scientist - Hedge Fund,Averity,"New York, NY"
Data Scientist for Technology Start-Up,Averity,"New York, NY"
Senior Research Data Scientist,NIKE INC,"New York, NY"
Data Scientist - Global Research & Data Analytics - VP,JP Morgan Chase,"New York, NY 10179 "
Senior Data Scientist,Farfetch,"New York, NY"
Data Reporting Analyst,ACLU,"New York, NY"
Sr. Data Scientist,fractalanalytics,"Jersey City, NJ"
Data Scientist / Signal Researcher,"The Hagan-Ricci Group, Inc.","New York, NY"
Data Analyst - Cardiology,Columbia University,"New York, NY"
Data Engineer,Gallup,"New York, NY"
Sr. Data Scientist,Fractal Analytics,"Jersey City, NJ"
Quantum Computing Scientist,JP Morgan Chase,"New York, NY 10001 "
Staff Research Scientist,Foursquare,"New York, NY"
Senior Data Scientist (Sales & Restaurant Network),Slice,"New York, NY"
Data Research and Acceleration Analyst,"Two Sigma Investments, LLC.","New York, NY"
Data Scientist Senior,Brown Brothers Harriman,"New York, NY"
Lead Data Scientist,Nautilus Labs,"New York, NY"
Senior Data Scientist,Bluecore,"New York, NY 10002 "
City Research Scientist- Risk,FIRE DEPARTMENT,"Brooklyn, NY"
Crypto Engineer –ROAR Data,JP Morgan Chase,"New York, NY 10179 "
Vice President/ Assistant Vice President - Machine Learning Specialist (Data Scientist),BNP Paribas,"New York, NY"
Associate Scientist,International Flavors and Fragrances,"New York, NY 10019 "
Visiting Scientist (AI),Facebook,"New York, NY"
Research Data Analyst,JLL,"New York, NY"
Senior Data Scientist & Machine Learning Engineer,IBM,"New York, NY 10002 "
Senior Data Scientist,S&P Global,"New York, NY 10041 "
Senior Data Scientist,Prudential,"Newark, NJ"
Data Analyst,WeWork Global Technology,"New York, NY"
Senior Data Scientist,New York Life Insurance Co,"New York, NY"
"Analyst, Data and Analysis",DigitasLBi,"New York, NY"
"Analyst, Data & Analysis (Social Analytics)",DigitasLBi,"New York, NY"
"Machine Learning Engineer, Data Science",2U,"Brooklyn, NY"
"Environmental Scientist, Bureau of Environmental Surveillance and Policy",DEPT OF HEALTH/MENTAL HYGIENE,"Manhattan, NY"
Sr. Data Scientist,Memorial Sloan Kettering,"New York, NY"
Data Research Analyst,Adaptive Management,"New York, NY"
Data Engineer,DEPT OF INFO TECH & TELECOMM,"Manhattan, NY"
Data Scientist - Site Reliability Engineering,BlackRock,"New York, NY 10055 "
Data Analyst,Schireson,"New York, NY"
Senior Data Scientist,Tremor Video DSP,"New York, NY"
Data Scientist,Engage Partners,"New York, NY"
Lead Data Scientist,Aetna,"New York, NY 10016 "
Data Scientist- Enterprise Product Analytics,App Info,"New York, NY"
Image Scientist,OPCOM,"New York, NY"
Ops Research Engineer/Data Scientist,Memorial Sloan Kettering,"New York, NY"
Data Engineer Python & Spark,Mount Sinai Health System,"New York, NY 10019 "
Senior Data Scientist,Socure,"New York, NY"
Data Scientist IoT-SHA000706,Pall,"Port Washington, NY 11050"
Behavioral Scientist,Ipsos North America,"New York, NY"
Research Scientist 1 / EOA# 2018-37,"People With Developmental Disabilities, Office for","Staten Island, NY"
Sr Data Scientist,Aetna,"New York, NY 10016 "
Data Scientist,Smith Hanley Associates,"New York, NY"
Junior Data Analyst,Metro-Goldwyn-Mayer Studios,"New York, NY"
"Research Scientist, Podcast (NLU/NLP)",Spotify,"New York, NY 10011 "
Data Visualization Engineer,LearnVest,"New York, NY"
Data Scientist - Adtech,Averity,"New York, NY"
"Quantitative Analysis, Full Time Analyst (North America - 2019)",Citi,"New York, NY 10261 "
Data Engineer,Columbia University,"New York, NY"
Computer Vision Data Scientist,Getty Images,"New York, NY"
Senior Data Scientist,"Apex Staffing, Inc.","New York, NY"
Data Analyst,Dashlane,"New York, NY 10010 "
Data Analyst/Modeler,DEPARTMENT OF FINANCE,"Manhattan, NY"
Machine Learning & Genomics Scientist (Startup Designing Novel Antivirals),Autonomous Therapeutics,"New York, NY 10016 "
Data Scientist,Dun & Bradstreet,"Short Hills, NJ"
Principal Data Scientist,Aetna,"New York, NY 10016 "
Data Analyst,"Starry, Inc.","New York, NY"
Data Scientist,Networkers,"New York, NY"
Research Analyst,CONSUMER AFFAIRS,"Manhattan, NY"
Senior Data Scientist,VTS3,"New York, NY 10003 "
Associate Research Scientist,Columbia University,"Manhattanville, NY"
Research Analyst,Insider Inc.,"New York, NY 10006 "
Data Scientist - Global Research & Data Analytics - Associate,JP Morgan Chase,"New York, NY 10179 "
Property Casualty Data Scientist Predictive Modeler #81886,Ezra Penland Actuarial Recruitment,"New York, NY"
Principal Machine Learning Data Scientist - Natural Language Processing,Capital One,"New York, NY 10261 "
Research Scientist,New York University,"New York, NY"
Lead Data Scientist,Match,"New York, NY"
"Research Scientist, Google Brain (United States)",Google,"New York, NY 10011 "
Data Scientist,BMW North America,"Woodcliff Lake, NJ"
"Drug Discovery Scientist - New York, USA",BenevolentAI,"New York, NY"
Data Scientist,Stacey Kostue Consulting,"New York, NY"
Senior Data Scientist,TrueFacet,"New York, NY 10018 "
Sr. Data Scientist,Pivotal Software,"New York, NY 10017 "
Lead Data Scientist,Verisk Analytics,"Jersey City, NJ"
Quantitative Data Analyst,Flatiron Health,"New York, NY"
Risk & Underwriting Data Scientist,New York Life Insurance Co,"New York, NY"
Research Scientist,"East River BioSolutions, Inc.","Brooklyn, NY"
Junior Research Scientist,New York University,"New York, NY"
"Emergency Preparedness Data Scientist, Bureau of Environmental Surveillance and Policy",DEPT OF HEALTH/MENTAL HYGIENE,"Manhattan, NY"
Data & Research Analyst,Columbia University,"New York, NY"
"Data Analyst, Growth Insights",LawTrades,"New York, NY"
Lead Data Scientist,OKCupid,"New York, NY"
"VP, Data Scientist",JP Morgan Chase,"New York, NY 10001 "
Asst Research Scientist,NYU Langone Health,"New York, NY 10016 "
Research & Data Analyst,"Handshake Partners, LLC","New York, NY"
CIB-Quantitative Data Scientist - Engineer-VP - New York,JP Morgan Chase,"New York, NY 10179 "
Data Scientist-Marketing Channel Attribution and Forecasting,letgo,"New York, NY"
Lead Data Scientist,Maxus,"New York, NY"
Lead Data Scientist,[m]Platform,"New York, NY"
Research Scientist,NYU Langone Health,"New York, NY 10016 "
Senior Data Scientist,Tephra Inc,"New York, NY"
Data Analyst/Scientist,Blue Mesa Health,"New York, NY"
Applied Scientist - Amazon AI,Amazon.com,"New York, NY"
Security Data Scientist,Rockstar New York,"New York, NY"
Statistical Machine Learning Scientist,AIG,"New York, NY"
"Research Scientist, Machine Learning and Intelligence",Google,"New York, NY 10011 "
Lead Data Scientist,Talent & Acquisition LLC,"New York, NY"
Data Analyst,ADMIN FOR CHILDREN'S SVCS,"Manhattan, NY"
Data Analyst - Peri-operative Services,NYU Langone Health,"New York, NY 10016 "
Associate Research Scientist,NYU Langone Health,"New York, NY 10016 "
Data Scientist - Clinical Innovation,Mount Sinai,"New York, NY"
"Corporate HR- Workforce Analytics- Data Scientist, Associate",JP Morgan Chase,"Jersey City, NJ 07310 "
"Senior Data Scientist, Growth Insights",Spotify,"New York, NY 10011 "
Inventive Scientist (Labs - Data Science and AI Research),AT&T,"New York, NY"
"Data Scientist, FP&A - Business Intelligence",Dow Jones,"New York, NY 10176 "
Data Scientist,Glocomms,"New York, NY"
Research Scientist (Environmental Pediatrics),NYU Langone Health,"New York, NY 10016 "
Data Engineer,Amazon.com,"New York, NY"
"Data Analyst, Bureau of Vital Statistics",DEPT OF HEALTH/MENTAL HYGIENE,"Manhattan, NY"
Scientist,National Center for CryoEM Access and Training (NCCAT),"New York, NY 10027 "
Clinical Data Analyst - CQE,NYU Langone Health,"New York, NY 10016 "
Data Analyst,NewsCred,"New York, NY 10016 "
Principal Data Scientist,Verizon,"New York, NY 10007 "
Clinical Data Scientist,C. R. Bard,"Murray Hill, NJ"
Data Scientist,Simon Data,"New York, NY"
Data Scientist (NYC),DonorsChoose.org,"New York, NY 10018 "
Data Scientist,Infomatics Corp,"Manhattan, NY"
Data Scientist,First Soft Solutions LLC,"New York, NY"
Data Scientist,Dataminr,"New York, NY"
Data Scientist,SpinCar,"New York, NY"
Data Scientist,MetroPlus Health Plan,"New York, NY"
Junior Data Scientist,Dow Jones,"New York, NY 10176 "
Data Scientist,Amazon.com,"New York, NY"
Data Scientist,SG Analytics,"New York, NY"
Data Scientist,Scienaptic Systems Inc,"New York, NY"
Junior Data Scientist,Viacom,"New York, NY"
Data Scientist (Entry-Level),First Derivatives plc,"New York, NY"
Data Scientist,Cityblock Health,"Brooklyn, NY 11201"
Junior Data Scientist Apprenticeship,IBM,"New York, NY 10002 "
Market Research Analyst,Blueocean Market Intelligence,"Redmond, WA 98052"
Machine Learning Engineer/Deep Learning Engineer(Local only),BrickRed Systems,"Redmond, WA"
Senior Engineering Architect,Microsoft,"Redmond, WA 98052"
"Principal Software Engineer, Azure Databricks",Microsoft,"Redmond, WA 98052"
Principal Software Engineer,Microsoft,"Redmond, WA 98052"
Computer Vision Scientist,Microsoft,"Redmond, WA 98052"
Research Scientist - Applied Machine Learning,Facebook,"Redmond, WA"
Data & Applied Scientist-Analysis & Insights,Microsoft,"Redmond, WA 98052"
Data Scientist,Posh Technologies,"Redmond, WA"
Data Scientist,Inabia Solutions and Consulting,"Redmond, WA 98052"
"Sr UX Web Developer, Insights & Analytics, Customer & Partner Advocacy",Microsoft,"Redmond, WA 98052"
Senior Cloud Software Engineer: Vetting and Forensics,Microsoft,"Redmond, WA 98052"
Data Scientist (Neural Networks),Neal Analytics,"Redmond, WA"
Data Scientist - Scala and Spark,HCL Technologies,"Redmond, WA"
Data Scientist,BrickRed Systems,"Redmond, WA"
Senior Software Engineering Lead,Microsoft,"Redmond, WA 98052"
Sr. Software Engineering Mgr,Microsoft,"Redmond, WA 98052"
Senior Engineering Lead,Microsoft,"Redmond, WA 98052"
Principal Software Engineering Manager,Microsoft,"Redmond, WA 98052"
Senior Software Engineer: Full Stack,Microsoft,"Redmond, WA 98052"
Data Scientist ll,Microsoft,"Redmond, WA 98052"
Data & Applied Scientist,Microsoft,"Redmond, WA 98052"
Data Scientist 2,Microsoft,"Redmond, WA 98052"
Data Scientist Researcher,Harman Connected Services,"Redmond, WA"
Data Scientist/Technical Writer(position 1),Posh Technologies,"Redmond, WA"
NGS Scientist,Resolution Bioscience,"Redmond, WA 98052"
Program Manager/Data Scientist,Inabia Solutions and Consulting,"Redmond, WA 98052"
Cybercrime Data Analyst,Microsoft,"Redmond, WA 98052"
Data Analyst,Microsoft,"Redmond, WA 98052"
Principal Data Scientist,Microsoft,"Redmond, WA 98052"
Senior Data & Applied Scientist,Microsoft,"Redmond, WA 98052"
Data Scientist-Digital Stores,Microsoft,"Redmond, WA 98052"
Data Scientist Mgmt-WW Customer Success,Microsoft,"Redmond, WA 98052"
Principal Applied Data Scientist,Microsoft,"Redmond, WA 98052"
GeoSpatial Data Engineer,EarthDefine,"Redmond, WA"
Research Scientist,NVIDIA,"Redmond, WA"
Data & Applied Scientist Mgr,Microsoft,"Redmond, WA 98052"
Principal Data & Applied Scientist,Microsoft,"Redmond, WA 98052"
Data Engineer,Microsoft,"Redmond, WA 98052"
Data Scientist,Diverse Lynx,"Redmond, WA"
"Data Scientist (R, SAS/ Python)",Diverse Lynx,"Redmond, WA"
"Research Scientist, Machine Learning and Graphics",Facebook,"Redmond, WA"
Applied Scientist 2,Microsoft,"Redmond, WA 98052"
"Developer/Data Engineer, Insights & Analytics, Customer & Partner Advocacy",Microsoft,"Redmond, WA 98052"
Map Perception Scientist for Autonomous Vehicles,NVIDIA,"Redmond, WA"
"Research Scientist, Eye Tracking (PhD University Grad)",Facebook,"Redmond, WA"
"Research Scientist, Visual Quality (PhD University Grad)",Facebook,"Redmond, WA"
"CV/ML Research Scientist, Eye Tracking",Facebook,"Redmond, WA"
Senior Data Analyst,Microsoft,"Redmond, WA 98052"
Bioinformatics Scientist,Covance,"Redmond, WA 98052"
"Principal Data Scientist Lead, Identity Data Experimentation and Analysis",Microsoft,"Redmond, WA 98052"
Senior Machine Learning Scientist,Microsoft,"Redmond, WA 98052"
"Postdoctoral Research Scientist, VR/AR Interactions",Facebook,"Redmond, WA"
Machine Learning Engineer,Redcley,"Redmond, WA"
Applied Machine Learning Engineer,Microsoft,"Redmond, WA 98052"
"Optical Scientist, Liquid Crystal Optics (PhD University Grad)",Facebook,"Redmond, WA"
Software Engineer,Microsoft,"Redmond, WA 98052"
"Research Scientist, Human Computer Interaction (PhD University Grad)",Facebook,"Redmond, WA"
Machine Learning Engineer,Nxt Level,"Redmond, WA"
Senior Data Engineer,Microsoft,"Redmond, WA 98052"
Staff Machine Vision / Machine Learning Engineer,MicroVision,"Redmond, WA"
Full Stack Engineer: Vetting & Forensics,Microsoft,"Redmond, WA 98052"
Principle Battery FA Engineer,Microsoft,"Redmond, WA 98052"
Software Engineer,Facebook,"Redmond, WA"
Software Engineer II - Machine Learning,Microsoft,"Redmond, WA 98052"
Sr Software Engineer - Big Data,Microsoft,"Redmond, WA 98052"
Senior Computer Vision Scientist for Autonomous Vehicles,NVIDIA,"Redmond, WA"
Software Design Engineer 2(Python),CSI Interfusion,"Redmond, WA 98052"
Machine Learning Engineer,Arth Systems,"Redmond, WA"
Software Development Engineer II,Microsoft,"Redmond, WA 98052"
"Prime Advisors Municipal Research Analyst (Redmond, WA)",Sun Life Financial,"Redmond, WA 98053"
Software Engineer - Physics,Facebook,"Redmond, WA"
"AR/VR Software Engineer, Interaction Tracking",Facebook,"Redmond, WA"
AR/VR Software Engineer (Oculus),Facebook,"Redmond, WA"
Software Engineer II - C#,Microsoft,"Redmond, WA 98052"
"Software Engineer, Insights & Analytics, Customer & Partner Advocacy",Microsoft,"Redmond, WA 98052"
Software Engineering Lead,Microsoft,"Redmond, WA 98052"
"Optical Engineer, Testing",Facebook,"Redmond, WA"
"Staff Engineer, Advanced Operations",Stryker,"Redmond, WA"
Staff Software Engineer,General Electric,"Redmond, WA 98053"
Principal Service Engineer,Microsoft,"Redmond, WA 98052"
Principal Sr. Data Engineer Lead,Microsoft,"Redmond, WA 98052"
Sr Software Engineer,Microsoft,"Redmond, WA 98052"
Senior Software Development Engineer,Microsoft,"Redmond, WA 98052"
Principal Software Development Engineer,Microsoft,"Redmond, WA 98052"
Machine Learning - Software Engineer / Scientist,Brain Corporation,"San Diego, CA"
Translational Scientist,Viome,"San Diego, CA"
R & D Scientist,"Biocept, Inc.","San Diego, CA 92121"
"Senior Research Scientist / Fellow I, Computational Genomics",Vertex Pharmaceuticals,"San Diego, CA 92121"
Principal Scientist,Wuxi AppTec,"San Diego, CA"
"Research Scientist II, Electrophysiology",Vertex,"San Diego, CA"
